Sexo;Edad;Nacionalidad;Fecha de alta;Fecha de baja;Situación laboral;Nivel académico;Distrito;Barrio;Número
Varón;58-67;ESPAÑOLA;18/01/2013;22/03/2023;Jubilado/a;03-A BUP/Bachillerato;TETUAN;CUATRO CAMINOS;1
Varón;43-52;ESPAÑOLA;03/03/2010;-;Trabajando;104-N Ciclo Formativo Grado Superior;CARABANCHEL;BUENAVISTA;1
Mujer;26-35;ESPAÑOLA;17/08/2021;-;Trabajando;08-A Licenciado Universitario;CENTRO;SOL;1
Varón;>90;DOMINICANA;02/07/2009;-;Trabajando;03-A BUP/Bachillerato;VICALVARO;CASCO H.VICALVARO;1
Varón;33-42;CAMERÚN;21/01/2016;-;Desempleado/a;02-A EGB/Graduado Escolar;OTROS;OTROS;1
Mujer;34-43;VENEZOLANA;27/12/2021;-;Desempleado/a;04-A FP;FUENCARRAL-EL PARDO;EL PILAR;1
Mujer;73-82;ESPAÑOLA;28/01/2019;-;Jubilado/a;-;CARABANCHEL;COMILLAS;1
Mujer;24-33;ESPAÑOLA;22/07/2019;-;Estudiando;104-N Ciclo Formativo Grado Superior;CENTRO;CORTES;1
Varón;38-47;ESPAÑOLA;10/03/2022;-;Trabajando;04-A FP;ARGANZUELA;PALOS DE LA FRONTERA;1
Varón;38-47;ECUATORIANA;17/05/2019;-;Desempleado/a;106-N Licenciado Universitario;CARABANCHEL;VISTA ALEGRE;1
Mujer;37-46;ESPAÑOLA;24/09/2018;-;Trabajando;08-A Licenciado Universitario;SALAMANCA;CASTELLANA;1
Mujer;37-46;ESPAÑOLA;16/09/2022;-;Trabajando;-;SALAMANCA;RECOLETOS;1
Mujer;82-91;ESPAÑOLA;09/10/2017;-;Jubilado/a;-;TETUAN;BELLAS VISTAS;1
Mujer;27-36;ESPAÑOLA;26/06/2017;-;Estudiando;03-A BUP/Bachillerato;OTROS;OTROS;1
Mujer;45-54;ESPAÑOLA;24/07/2008;-;Trabajando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;EL GOLOSO;1
Mujer;29-38;ESPAÑOLA;08/01/2018;-;Trabajando;08-A Licenciado Universitario;ARGANZUELA;IMPERIAL;1
Varón;41-50;ESPAÑOLA;18/08/2021;-;Trabajando;07-A Diplomado Universitario;RETIRO;LOS JERONIMOS;1
Varón;74-83;ESPAÑOLA;16/10/2008;-;Jubilado/a;03-A BUP/Bachillerato;VILLA DE VALLECAS;SANTA EUGENIA;1
Mujer;25-34;ESPAÑOLA;27/01/2021;-;Trabajando;07-A Diplomado Universitario;ARGANZUELA;CHOPERA;1
Mujer;62-71;ESPAÑOLA;20/09/2006;-;Trabajando;08-A Licenciado Universitario;RETIRO;PACIFICO;1
Mujer;74-83;ESPAÑOLA;06/05/2008;22/03/2023;Otra situación;02-A EGB/Graduado Escolar;CHAMARTIN;CIUDAD JARDIN;1
Mujer;81-90;ESPAÑOLA;13/08/2009;-;Jubilado/a;02-A EGB/Graduado Escolar;LATINA;LUCERO;1
Varón;74-83;ESPAÑOLA;13/04/2015;-;Jubilado/a;200-N NS/NC;RETIRO;ESTRELLA;1
Mujer;67-76;ESPAÑOLA;04/10/2017;-;Jubilado/a;08-A Licenciado Universitario;CIUDAD LINEAL;SAN JUAN BAUTISTA;1
Mujer;65-74;ECUATORIANA;16/03/2004;-;Trabajando;08-A Licenciado Universitario;OTROS;OTROS;1
Mujer;51-60;ESPAÑOLA;02/12/2021;-;Trabajando;106-N Licenciado Universitario;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Mujer;46-55;ESPAÑOLA;10/04/2019;-;Desempleado/a;08-A Licenciado Universitario;USERA;ALMENDRALES;1
Varón;90-99;ESPAÑOLA;03/01/2020;-;-;-;VILLAVERDE;LOS ANGELES;1
Mujer;31-40;ESPAÑOLA;20/05/2021;-;Estudiando;08-A Licenciado Universitario;ARGANZUELA;DELICIAS;1
Varón;65-74;PARAGUAYA;14/06/2009;-;Desempleado/a;08-A Licenciado Universitario;CARABANCHEL;VISTA ALEGRE;1
Mujer;72-81;ESPAÑOLA;05/06/2012;-;-;07-A Diplomado Universitario;RETIRO;IBIZA;1
Mujer;29-38;HONDUREÑA;01/03/2021;-;Desempleado/a;02-A EGB/Graduado Escolar;LATINA;LAS AGUILAS;1
Varón;51-60;ESPAÑOLA;09/01/2020;-;Desempleado/a;06-A Módulo Profesional;CARABANCHEL;OPAÑEL;1
Mujer;67-76;ESPAÑOLA;07/12/2012;-;Desempleado/a;03-A BUP/Bachillerato;TETUAN;VALDEACEDERAS;1
Mujer;59-68;ESPAÑOLA;19/03/2008;-;Trabajando;200-N NS/NC;SALAMANCA;LISTA;1
Varón;48-57;PERUANA;01/02/2010;-;Desempleado/a;04-A FP;CARABANCHEL;OPAÑEL;1
Mujer;64-73;ESPAÑOLA;29/01/2008;30/12/2019;Trabajando;106-N Licenciado Universitario;VICALVARO;VALDERRIVAS;1
Mujer;74-83;ESPAÑOLA;27/11/2012;-;Jubilado/a;200-N NS/NC;PUENTE DE VALLECAS;SAN DIEGO;1
Varón;73-82;ESPAÑOLA;16/03/2017;-;-;200-N NS/NC;SAN BLAS - CANILLEJAS;AMPOSTA;1
Mujer;65-74;ESPAÑOLA;16/11/2016;-;Trabajando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Varón;44-53;ESPAÑOLA;24/11/2008;-;Desempleado/a;04-A FP;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Varón;72-81;ESPAÑOLA;18/11/2016;-;-;200-N NS/NC;ARGANZUELA;PALOS DE LA FRONTERA;1
Mujer;52-61;ESPAÑOLA;30/04/2004;-;Trabajando;08-A Licenciado Universitario;MONCLOA-ARAVACA;CASA DE CAMPO;1
Varón;41-50;ESPAÑOLA;19/12/2013;-;Trabajando;03-A BUP/Bachillerato;MONCLOA-ARAVACA;ARAVACA;1
Mujer;60-69;ESPAÑOLA;18/06/2006;-;Trabajando;03-A BUP/Bachillerato;MORATALAZ;FONTARRON;1
Mujer;50-59;ESPAÑOLA;14/07/2021;-;Otra situación;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Mujer;43-52;ESPAÑOLA;20/09/2022;-;Trabajando;03-A BUP/Bachillerato;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;1
Varón;69-78;ESPAÑOLA;06/03/2023;-;Jubilado/a;-;CHAMBERI;TRAFALGAR;1
Varón;68-77;ESPAÑOLA;30/01/2014;-;Desempleado/a;03-A BUP/Bachillerato;HORTALEZA;CANILLAS;1
Mujer;78-87;ESPAÑOLA;10/09/2018;-;Jubilado/a;-;CIUDAD LINEAL;PUEBLO NUEVO;1
Mujer;51-60;ESPAÑOLA;18/03/2019;-;Trabajando;08-A Licenciado Universitario;RETIRO;IBIZA;1
Mujer;38-47;ECUATORIANA;07/05/2021;-;Estudiando;04-A FP;CIUDAD LINEAL;PUEBLO NUEVO;1
Varón;44-53;ESPAÑOLA;18/09/2008;-;Trabajando;08-A Licenciado Universitario;VILLA DE VALLECAS;CASCO H.VALLECAS;1
Mujer;81-90;ESPAÑOLA;09/06/2015;-;Jubilado/a;200-N NS/NC;CARABANCHEL;PUERTA BONITA;1
Mujer;29-38;MEXICANA;17/02/2022;-;Trabajando;08-A Licenciado Universitario;SALAMANCA;GOYA;1
Mujer;39-48;ALEMANA;18/01/2016;-;Trabajando;106-N Licenciado Universitario;TETUAN;VALDEACEDERAS;1
Mujer;>90;ESPAÑOLA;28/04/2008;-;Jubilado/a;03-A BUP/Bachillerato;CHAMARTIN;PROSPERIDAD;1
Mujer;>90;ESPAÑOLA;25/05/2023;-;-;-;CIUDAD LINEAL;COLINA;1
Mujer;35-44;ESPAÑOLA;07/09/2009;-;Trabajando;07-A Diplomado Universitario;SALAMANCA;CASTELLANA;1
Mujer;22-31;ESPAÑOLA;18/05/2021;-;Estudiando;104-N Ciclo Formativo Grado Superior;OTROS;OTROS;1
Varón;36-45;PARAGUAYA;01/09/2020;-;-;-;SAN BLAS - CANILLEJAS;SIMANCAS;1
Mujer;82-91;ESPAÑOLA;04/03/2011;30/11/2019;Jubilado/a;200-N NS/NC;SAN BLAS - CANILLEJAS;HELLIN;1
Mujer;23-32;ESPAÑOLA;22/10/2019;-;Estudiando;-;TETUAN;ALMENARA;1
Mujer;44-53;PERUANA;23/07/2010;-;-;07-A Diplomado Universitario;LATINA;PUERTA DEL ANGEL;1
Mujer;54-63;ESPAÑOLA;07/12/2015;-;Trabajando;08-A Licenciado Universitario;RETIRO;ESTRELLA;1
Varón;31-40;ESPAÑOLA;28/03/2017;-;Trabajando;102-N Bachillerato;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Mujer;>90;ESPAÑOLA;22/04/2008;-;Jubilado/a;02-A EGB/Graduado Escolar;CIUDAD LINEAL;PUEBLO NUEVO;1
Varón;28-37;ESPAÑOLA;22/08/2014;-;Trabajando;101-N ESO Educación Secundaria;HORTALEZA;CANILLAS;1
Varón;46-55;VENEZOLANA;09/01/2019;-;Trabajando;106-N Licenciado Universitario;PUENTE DE VALLECAS;SAN DIEGO;1
Mujer;36-45;ESPAÑOLA;18/01/2016;-;Trabajando;08-A Licenciado Universitario;CENTRO;UNIVERSIDAD;1
Mujer;72-81;ESPAÑOLA;08/05/2015;31/07/2019;Jubilado/a;200-N NS/NC;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Mujer;31-40;ESPAÑOLA;13/06/2018;-;Estudiando;106-N Licenciado Universitario;OTROS;OTROS;1
Mujer;62-71;ESPAÑOLA;06/09/2016;-;Trabajando;07-A Diplomado Universitario;SALAMANCA;FUENTE DEL BERRO;1
Varón;87-96;ESPAÑOLA;31/07/2013;-;Jubilado/a;200-N NS/NC;MORATALAZ;VINATEROS;1
Mujer;71-80;ESPAÑOLA;21/12/2022;-;Jubilado/a;02-A EGB/Graduado Escolar;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Varón;89-98;ESPAÑOLA;19/02/2010;22/03/2023;Jubilado/a;200-N NS/NC;PUENTE DE VALLECAS;PALOMERAS SURESTE;1
Mujer;27-36;ESPAÑOLA;16/09/2021;-;Desempleado/a;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;VALVERDE;1
Mujer;88-97;ESPAÑOLA;25/04/2008;-;Jubilado/a;03-A BUP/Bachillerato;RETIRO;IBIZA;1
Varón;59-68;ESPAÑOLA;08/06/2022;-;Jubilado/a;08-A Licenciado Universitario;MONCLOA-ARAVACA;VALDEZARZA;1
Mujer;30-39;ESPAÑOLA;14/09/2012;-;Estudiando;07-A Diplomado Universitario;TETUAN;ALMENARA;1
Mujer;59-68;ESPAÑOLA;08/01/2019;-;Trabajando;106-N Licenciado Universitario;FUENCARRAL-EL PARDO;LA PAZ;1
Varón;83-92;ESPAÑOLA;21/10/2013;26/02/2021;Jubilado/a;02-A EGB/Graduado Escolar;SAN BLAS - CANILLEJAS;EL SALVADOR;1
Mujer;32-41;ESPAÑOLA;03/10/2014;-;Desempleado/a;07-A Diplomado Universitario;SALAMANCA;GOYA;1
Varón;32-41;ESPAÑOLA;11/01/2012;-;Trabajando;101-N ESO Educación Secundaria;OTROS;OTROS;1
Mujer;61-70;ESPAÑOLA;08/04/2016;-;Jubilado/a;05-A COU;CHAMARTIN;CASTILLA;1
Mujer;41-50;ESPAÑOLA;18/06/2019;-;Trabajando;106-N Licenciado Universitario;CHAMARTIN;NUEVA ESPAÑA;1
Mujer;53-62;ESPAÑOLA;27/04/2017;-;Trabajando;07-A Diplomado Universitario;OTROS;OTROS;1
Mujer;26-35;ESPAÑOLA;27/12/2013;21/03/2018;Estudiando;03-A BUP/Bachillerato;TETUAN;ALMENARA;1
Varón;55-64;ESPAÑOLA;11/09/2008;-;Trabajando;02-A EGB/Graduado Escolar;CHAMBERI;ALMAGRO;1
Mujer;77-86;ESPAÑOLA;17/01/2007;22/03/2023;Jubilado/a;07-A Diplomado Universitario;RETIRO;PACIFICO;1
Varón;23-32;ESPAÑOLA;09/02/2021;-;Desempleado/a;07-A Diplomado Universitario;CIUDAD LINEAL;COSTILLARES;1
Mujer;59-68;ESPAÑOLA;29/09/2017;30/09/2020;Desempleado/a;04-A FP;CIUDAD LINEAL;PUEBLO NUEVO;1
Mujer;42-51;ESPAÑOLA;12/02/2021;-;Desempleado/a;08-A Licenciado Universitario;OTROS;OTROS;1
Varón;34-43;ESPAÑOLA;06/07/2016;-;Trabajando;08-A Licenciado Universitario;RETIRO;LOS JERONIMOS;1
Mujer;>90;ESPAÑOLA;22/10/2007;26/02/2021;Estudiando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;LA PAZ;1
Mujer;25-34;ESPAÑOLA;28/12/2015;-;Estudiando;08-A Licenciado Universitario;PUENTE DE VALLECAS;ENTREVIAS;1
Varón;41-50;ESPAÑOLA;04/03/2021;-;Trabajando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;EL PILAR;1
Mujer;52-61;BOLIVIANA;11/09/2009;-;Trabajando;08-A Licenciado Universitario;SAN BLAS - CANILLEJAS;SIMANCAS;1
Varón;47-56;PERUANA;12/11/2013;-;Trabajando;08-A Licenciado Universitario;CHAMBERI;RIOS ROSAS;1
Mujer;31-40;ESPAÑOLA;04/03/2014;-;Estudiando;200-N NS/NC;CENTRO;EMBAJADORES;1
Mujer;32-41;ESPAÑOLA;24/02/2010;-;Estudiando;07-A Diplomado Universitario;CIUDAD LINEAL;PUEBLO NUEVO;1
Varón;74-83;ESPAÑOLA;29/05/2013;-;-;200-N NS/NC;VILLAVERDE;LOS ANGELES;1
Varón;50-59;PORTUGUESA;09/02/2023;-;Trabajando;08-A Licenciado Universitario;CHAMBERI;TRAFALGAR;1
Varón;80-89;ESPAÑOLA;10/02/2010;-;Jubilado/a;08-A Licenciado Universitario;CHAMARTIN;CIUDAD JARDIN;1
Varón;50-59;ESPAÑOLA;28/04/2007;-;Trabajando;200-N NS/NC;CIUDAD LINEAL;CONCEPCION;1
Varón;34-43;ESPAÑOLA;15/12/2009;-;Estudiando;102-N Bachillerato;LATINA;CAMPAMENTO;1
Mujer;30-39;ESPAÑOLA;28/12/2011;-;Estudiando;102-N Bachillerato;OTROS;OTROS;1
Mujer;45-54;ESPAÑOLA;20/05/2019;30/05/2019;-;104-N Ciclo Formativo Grado Superior;SAN BLAS - CANILLEJAS;EL SALVADOR;1
Mujer;77-86;ESPAÑOLA;01/02/2013;22/03/2023;Jubilado/a;03-A BUP/Bachillerato;CHAMBERI;ALMAGRO;1
Mujer;61-70;ESPAÑOLA;01/10/2004;-;Desempleado/a;08-A Licenciado Universitario;VILLAVERDE;LOS ANGELES;1
Varón;19-28;ESPAÑOLA;15/06/2022;-;Estudiando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;EL PILAR;1
Varón;31-40;ESTADO UNIDENSE;19/05/2023;-;Trabajando;04-A FP;CENTRO;UNIVERSIDAD;1
Mujer;44-53;ECUATORIANA;06/03/2008;-;Desempleado/a;200-N NS/NC;USERA;ORCASUR;1
Mujer;33-42;ESPAÑOLA;17/09/2020;-;Desempleado/a;06-A Módulo Profesional;TETUAN;ALMENARA;1
Varón;57-66;ESPAÑOLA;07/06/2012;-;Trabajando;05-A COU;OTROS;OTROS;1
Varón;54-63;ESPAÑOLA;13/07/2004;-;Trabajando;04-A FP;CENTRO;UNIVERSIDAD;1
Varón;43-52;ESPAÑOLA;22/04/2004;-;Estudiando;106-N Licenciado Universitario;CIUDAD LINEAL;SAN JUAN BAUTISTA;1
Mujer;67-76;ESPAÑOLA;30/01/2009;-;Desempleado/a;05-A COU;CIUDAD LINEAL;QUINTANA;1
Varón;>90;ESPAÑOLA;13/08/2008;-;-;200-N NS/NC;HORTALEZA;APOSTOL SANTIAGO;2
Mujer;45-54;ESPAÑOLA;17/08/2016;-;Trabajando;07-A Diplomado Universitario;CARABANCHEL;OPAÑEL;1
Mujer;49-58;ESPAÑOLA;03/02/2010;-;Trabajando;07-A Diplomado Universitario;CIUDAD LINEAL;VENTAS;1
Mujer;63-72;ESPAÑOLA;21/08/2014;-;Jubilado/a;04-A FP;TETUAN;BERRUGUETE;1
Mujer;28-37;ESLOVACA;31/08/2021;-;Trabajando;-;MONCLOA-ARAVACA;ARAVACA;1
Varón;79-88;ESPAÑOLA;03/09/2009;29/11/2017;Jubilado/a;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;MIRASIERRA;1
Varón;35-44;ESPAÑOLA;23/03/2009;-;Estudiando;08-A Licenciado Universitario;OTROS;OTROS;1
Mujer;48-57;ESPAÑOLA;14/09/2012;-;Trabajando;08-A Licenciado Universitario;CARABANCHEL;BUENAVISTA;1
Varón;72-81;ESPAÑOLA;16/04/2010;-;Jubilado/a;200-N NS/NC;MONCLOA-ARAVACA;ARAVACA;1
Varón;56-65;ESPAÑOLA;28/07/2005;-;Desempleado/a;02-A EGB/Graduado Escolar;LATINA;LAS AGUILAS;1
Mujer;43-52;ESPAÑOLA;03/12/2009;-;-;03-A BUP/Bachillerato;CARABANCHEL;VISTA ALEGRE;1
Mujer;68-77;ESPAÑOLA;04/10/2022;-;Jubilado/a;-;SAN BLAS - CANILLEJAS;ROSAS;1
Mujer;35-44;ESPAÑOLA;02/11/2017;-;Trabajando;104-N Ciclo Formativo Grado Superior;LATINA;PUERTA DEL ANGEL;1
Mujer;53-62;ESPAÑOLA;17/03/2004;-;Trabajando;08-A Licenciado Universitario;HORTALEZA;PIOVERA;1
Mujer;62-71;ESPAÑOLA;22/03/2019;-;Trabajando;03-A BUP/Bachillerato;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Varón;54-63;ESPAÑOLA;06/10/2008;-;Trabajando;04-A FP;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Mujer;70-79;ESPAÑOLA;08/03/2017;-;Jubilado/a;02-A EGB/Graduado Escolar;CIUDAD LINEAL;PUEBLO NUEVO;1
Varón;48-57;ESPAÑOLA;09/03/2021;-;Trabajando;04-A FP;HORTALEZA;PINAR DEL REY;1
Mujer;36-45;ESPAÑOLA;17/11/2021;-;Estudiando;08-A Licenciado Universitario;CENTRO;CORTES;1
Mujer;75-84;ESPAÑOLA;08/03/2011;-;-;03-A BUP/Bachillerato;ARGANZUELA;LEGAZPI;1
Varón;22-31;ITALIANA;01/10/2021;-;Estudiando;03-A BUP/Bachillerato;CENTRO;UNIVERSIDAD;1
Mujer;59-68;ESPAÑOLA;27/05/2021;-;Trabajando;05-A COU;CARABANCHEL;VISTA ALEGRE;1
Varón;76-85;ESPAÑOLA;28/10/2016;-;Jubilado/a;200-N NS/NC;CIUDAD LINEAL;CONCEPCION;1
Mujer;79-88;ESPAÑOLA;06/07/2016;-;-;200-N NS/NC;MORATALAZ;FONTARRON;1
Mujer;37-46;ESPAÑOLA;20/03/2013;-;Trabajando;106-N Licenciado Universitario;SALAMANCA;GOYA;1
Varón;39-48;ESPAÑOLA;27/12/2016;-;Trabajando;08-A Licenciado Universitario;OTROS;OTROS;1
Mujer;47-56;RUMANA;28/03/2019;-;Trabajando;200-N NS/NC;PUENTE DE VALLECAS;PALOMERAS SURESTE;1
Mujer;59-68;ESPAÑOLA;18/02/2021;-;Desempleado/a;04-A FP;MORATALAZ;VINATEROS;1
Varón;39-48;ESPAÑOLA;13/04/2004;-;Trabajando;08-A Licenciado Universitario;HORTALEZA;PIOVERA;1
Mujer;74-83;ESPAÑOLA;28/04/2017;-;Jubilado/a;06-A Módulo Profesional;CHAMBERI;ARAPILES;1
Mujer;83-92;ESPAÑOLA;16/03/2011;-;-;200-N NS/NC;BARAJAS;CASCO H.BARAJAS;1
Mujer;46-55;ESPAÑOLA;18/10/2010;-;Trabajando;06-A Módulo Profesional;CARABANCHEL;OPAÑEL;1
Mujer;45-54;VENEZOLANA;11/03/2010;-;Desempleado/a;200-N NS/NC;TETUAN;CUATRO CAMINOS;1
Varón;63-72;ESPAÑOLA;12/09/2006;-;Trabajando;08-A Licenciado Universitario;HORTALEZA;PIOVERA;1
Mujer;44-53;ESPAÑOLA;28/08/2019;-;Trabajando;08-A Licenciado Universitario;CENTRO;UNIVERSIDAD;1
Varón;43-52;DOMINICANA;29/09/2008;-;Trabajando;02-A EGB/Graduado Escolar;TETUAN;VALDEACEDERAS;1
Varón;42-51;ESPAÑOLA;20/03/2012;30/07/2021;Trabajando;07-A Diplomado Universitario;TETUAN;CUATRO CAMINOS;1
Mujer;67-76;ESPAÑOLA;25/10/2022;-;Jubilado/a;08-A Licenciado Universitario;CARABANCHEL;COMILLAS;1
Mujer;70-79;ESPAÑOLA;08/09/2017;-;Jubilado/a;-;CIUDAD LINEAL;PUEBLO NUEVO;1
Mujer;42-51;ESPAÑOLA;16/09/2010;-;-;200-N NS/NC;OTROS;OTROS;1
Mujer;73-82;ESPAÑOLA;06/05/2008;-;Trabajando;200-N NS/NC;CHAMARTIN;PROSPERIDAD;1
Mujer;37-46;ESPAÑOLA;23/03/2023;-;Otra situación;03-A BUP/Bachillerato;USERA;ORCASUR;1
Varón;26-35;BRASILEÑA;14/11/2017;-;Estudiando;-;CENTRO;CORTES;1
Mujer;36-45;ESPAÑOLA;24/06/2016;-;-;105-N Diplomado Universitario;CARABANCHEL;VISTA ALEGRE;1
Varón;43-52;ESPAÑOLA;25/09/2014;-;Trabajando;04-A FP;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Mujer;51-60;ESPAÑOLA;18/08/2016;-;-;105-N Diplomado Universitario;TETUAN;CASTILLEJOS;1
Mujer;37-46;ESPAÑOLA;14/01/2008;-;Estudiando;105-N Diplomado Universitario;LATINA;PUERTA DEL ANGEL;1
Mujer;22-31;ESPAÑOLA;09/04/2021;-;Estudiando;03-A BUP/Bachillerato;VILLAVERDE;BUTARQUE;1
Mujer;63-72;ESPAÑOLA;10/02/2020;-;Trabajando;08-A Licenciado Universitario;RETIRO;LOS JERONIMOS;1
Mujer;50-59;ESPAÑOLA;19/09/2022;-;Trabajando;02-A EGB/Graduado Escolar;CARABANCHEL;SAN ISIDRO;1
Varón;36-45;PERUANA;02/04/2009;-;Estudiando;03-A BUP/Bachillerato;VILLA DE VALLECAS;CASCO H.VALLECAS;1
Mujer;26-35;ESPAÑOLA;03/04/2019;-;Estudiando;103-N Ciclo Formativo Grado Medio;ARGANZUELA;CHOPERA;1
Mujer;49-58;ESPAÑOLA;07/06/2022;-;Trabajando;-;CIUDAD LINEAL;VENTAS;1
Varón;73-82;ESPAÑOLA;03/12/2013;-;-;106-N Licenciado Universitario;FUENCARRAL-EL PARDO;MIRASIERRA;1
Varón;74-83;ESPAÑOLA;18/06/2019;-;-;-;CHAMBERI;GAZTAMBIDE;1
Mujer;31-40;COLOMBIANA;02/02/2023;-;Otra situación;102-N Bachillerato;OTROS;OTROS;1
Mujer;81-90;ESPAÑOLA;19/01/2023;-;-;-;VILLAVERDE;LOS ANGELES;1
Varón;50-59;CHILENA;13/12/2007;28/02/2019;Trabajando;08-A Licenciado Universitario;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;1
Mujer;41-50;ESPAÑOLA;25/09/2008;30/11/2019;Trabajando;08-A Licenciado Universitario;SALAMANCA;LISTA;1
Mujer;48-57;ESPAÑOLA;04/12/2020;-;Desempleado/a;08-A Licenciado Universitario;ARGANZUELA;LEGAZPI;1
Mujer;69-78;ESPAÑOLA;19/12/2018;-;Jubilado/a;08-A Licenciado Universitario;SALAMANCA;GUINDALERA;1
Mujer;73-82;ESPAÑOLA;14/09/2017;-;-;-;CENTRO;EMBAJADORES;1
Varón;54-63;ECUATORIANA;05/02/2021;-;Desempleado/a;02-A EGB/Graduado Escolar;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Varón;47-56;ESPAÑOLA;12/04/2013;-;Desempleado/a;02-A EGB/Graduado Escolar;LATINA;LUCERO;1
Varón;53-62;ESPAÑOLA;29/01/2010;-;Desempleado/a;200-N NS/NC;CENTRO;PALACIO;1
Mujer;24-33;ESPAÑOLA;19/11/2020;-;Estudiando;04-A FP;MORATALAZ;HORCAJO;1
Mujer;40-49;ESPAÑOLA;09/03/2017;-;Trabajando;102-N Bachillerato;LATINA;LAS AGUILAS;1
Varón;33-42;ESPAÑOLA;16/12/2014;-;Trabajando;106-N Licenciado Universitario;RETIRO;NIÑO JESUS;1
Mujer;26-35;ESPAÑOLA;21/07/2014;-;Desempleado/a;101-N ESO Educación Secundaria;MORATALAZ;FONTARRON;1
Mujer;56-65;ESPAÑOLA;21/07/2010;-;Trabajando;08-A Licenciado Universitario;CARABANCHEL;ABRANTES;1
Varón;45-54;ESPAÑOLA;07/12/2018;-;Otra situación;-;LATINA;LOS CARMENES;1
Mujer;44-53;ESPAÑOLA;23/12/2022;-;Desempleado/a;-;ARGANZUELA;IMPERIAL;1
Mujer;40-49;ESPAÑOLA;21/06/2019;-;Trabajando;08-A Licenciado Universitario;OTROS;OTROS;1
Mujer;39-48;ESPAÑOLA;11/11/2015;-;Desempleado/a;200-N NS/NC;TETUAN;CASTILLEJOS;1
Varón;69-78;ESPAÑOLA;01/10/2013;-;Desempleado/a;200-N NS/NC;CENTRO;EMBAJADORES;1
Varón;58-67;COLOMBIANA;29/10/2014;-;-;105-N Diplomado Universitario;OTROS;OTROS;1
Varón;30-39;ESPAÑOLA;29/05/2023;-;Trabajando;08-A Licenciado Universitario;MONCLOA-ARAVACA;CASA DE CAMPO;1
Mujer;43-52;ESPAÑOLA;26/03/2004;-;Trabajando;07-A Diplomado Universitario;TETUAN;CUATRO CAMINOS;1
Mujer;32-41;ESPAÑOLA;01/03/2022;-;Trabajando;-;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Mujer;39-48;ESPAÑOLA;17/05/2023;-;Trabajando;04-A FP;SALAMANCA;GOYA;1
Mujer;75-84;ESPAÑOLA;07/11/2017;-;Jubilado/a;-;CIUDAD LINEAL;SAN JUAN BAUTISTA;1
Mujer;70-79;ESPAÑOLA;05/02/2020;-;-;-;VILLAVERDE;LOS ROSALES;1
Mujer;63-72;ESPAÑOLA;21/02/2005;-;Desempleado/a;05-A COU;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;1
Varón;82-91;ESPAÑOLA;06/06/2018;-;Jubilado/a;-;MORATALAZ;MARROQUINA;1
Mujer;36-45;ESPAÑOLA;31/08/2021;-;-;07-A Diplomado Universitario;CARABANCHEL;BUENAVISTA;1
Mujer;51-60;ESPAÑOLA;25/01/2010;-;Trabajando;08-A Licenciado Universitario;CHAMARTIN;CASTILLA;1
Varón;63-72;ESPAÑOLA;18/02/2021;-;Trabajando;08-A Licenciado Universitario;MONCLOA-ARAVACA;ARGUELLES;1
Varón;54-63;ESPAÑOLA;19/09/2022;-;Trabajando;04-A FP;TETUAN;BERRUGUETE;1
Mujer;52-61;ESPAÑOLA;21/03/2011;30/09/2019;Desempleado/a;05-A COU;HORTALEZA;CANILLAS;1
Mujer;23-32;ESPAÑOLA;03/05/2023;-;Estudiando;102-N Bachillerato;OTROS;OTROS;1
Mujer;68-77;ESPAÑOLA;08/07/2022;-;Jubilado/a;-;CIUDAD LINEAL;VENTAS;1
Mujer;44-53;ESPAÑOLA;18/01/2017;-;Trabajando;07-A Diplomado Universitario;ARGANZUELA;DELICIAS;1
Varón;72-81;HONDUREÑA;14/02/2022;-;-;03-A BUP/Bachillerato;MORATALAZ;FONTARRON;1
Varón;71-80;ESPAÑOLA;10/01/2012;-;Desempleado/a;101-N ESO Educación Secundaria;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Mujer;48-57;ESPAÑOLA;25/01/2013;-;Trabajando;07-A Diplomado Universitario;MONCLOA-ARAVACA;VALDEZARZA;1
Varón;44-53;ESPAÑOLA;19/12/2013;-;-;08-A Licenciado Universitario;SALAMANCA;CASTELLANA;1
